sec,nanosec,position_shoulder,velocity_shoulder,effort_shoulder
10030,40000000,8.337418637616167e-05,-0.007711009439302356,nan
10030,50000000,8.337418637349714e-05,-0.00771100943954233,nan
10030,60000000,8.337418637438532e-05,-0.007711009439819243,nan
10030,70000000,8.337418637438532e-05,-0.007711009440011186,nan
10030,80000000,8.337418637438532e-05,-0.007711009440274335,nan
10030,90000000,8.337418637438532e-05,-0.007711009440423237,nan
10030,100000000,8.337418637438532e-05,-0.007711009440698601,nan
10030,110000000,8.337418637438532e-05,-0.007711009440882946,nan
10030,120000000,8.33741863752735e-05,-0.007711009441093473,nan
10030,130000000,8.33741863752735e-05,-0.007711009441311431,nan
10030,140000000,8.33741863752735e-05,-0.007711009441596905,nan
10030,150000000,8.33741863752735e-05,-0.007711009441735863,nan
10030,160000000,8.337418637349714e-05,-0.007711009441977784,nan
10030,170000000,8.337418637438532e-05,-0.007711009442208602,nan
10030,180000000,8.337418637349714e-05,-0.007711009442458935,nan
10030,190000000,8.337418637172078e-05,-0.007711009442797479,nan
10030,200000000,8.337418636994443e-05,-0.007711009442990324,nan
10030,210000000,8.337418636994443e-05,-0.007711009443179888,nan
10030,220000000,8.33741863708326e-05,-0.007711009443472067,nan
10030,230000000,8.33741863708326e-05,-0.007711009443569265,nan
10030,240000000,8.33741863708326e-05,-0.007711009443793148,nan
10030,250000000,8.337418637172078e-05,-0.007711009443946154,nan
10030,260000000,8.337418636994443e-05,-0.007711009444246765,nan
10030,270000000,8.337418636994443e-05,-0.007711009444406154,nan
10030,280000000,8.337418637172078e-05,-0.0077110094447497566,nan
10030,290000000,8.33741863708326e-05,-0.0077110094449115716,nan
10030,300000000,8.33741863708326e-05,-0.007711009445177676,nan
10030,310000000,8.33741863708326e-05,-0.007711009445445013,nan
10030,320000000,8.33741863708326e-05,-0.007711009445547164,nan
10030,330000000,8.33741863708326e-05,-0.007711009445768426,nan
10030,340000000,8.337418636905625e-05,-0.007711009446086748,nan
10030,350000000,8.337418636994443e-05,-0.007711009446268428,nan
10030,360000000,8.337418636727989e-05,-0.007711009446556703,nan
10030,370000000,8.337418636816807e-05,-0.007711009446711176,nan
10030,380000000,8.337418636816807e-05,-0.007711009446950921,nan
10030,390000000,8.337418636727989e-05,-0.007711009447198893,nan
10030,400000000,8.337418636727989e-05,-0.007711009447297281,nan
10030,410000000,8.337418636727989e-05,-0.007711009447611599,nan
10030,420000000,8.337418636727989e-05,-0.007711009447810581,nan
10030,430000000,8.337418636727989e-05,-0.007711009448047236,nan
10030,440000000,8.337418636727989e-05,-0.0077110094482185825,nan
10030,450000000,8.337418636816807e-05,-0.007711009448401628,nan
10030,460000000,8.337418636816807e-05,-0.007711009448748124,nan
10030,470000000,8.337418636550353e-05,-0.007711009448920966,nan
10030,480000000,8.337418636550353e-05,-0.007711009449095349,nan
10030,490000000,8.337418636550353e-05,-0.007711009449386074,nan
10030,500000000,8.337418636550353e-05,-0.0077110094496992045,nan
10030,510000000,8.337418636372718e-05,-0.007711009449697788,nan
10030,520000000,8.337418636639171e-05,-0.007711009449953198,nan
10030,530000000,8.337418636461535e-05,-0.007711009450243489,nan
10030,540000000,8.337418636461535e-05,-0.007711009450469631,nan
10030,550000000,8.337418636372718e-05,-0.007711009450589172,nan
10030,560000000,8.337418636372718e-05,-0.007711009450927217,nan
10030,570000000,8.337418636461535e-05,-0.007711009451121405,nan
10030,580000000,8.3374186362839e-05,-0.007711009451417177,nan
10030,590000000,8.337418636372718e-05,-0.007711009451618663,nan
10030,600000000,8.337418636372718e-05,-0.007711009451814143,nan
10030,610000000,8.3374186362839e-05,-0.007711009452003914,nan
10030,620000000,8.337418636372718e-05,-0.007711009452393174,nan
10030,630000000,8.3374186362839e-05,-0.007711009452543647,nan
10030,640000000,8.337418636195082e-05,-0.007711009452797047,nan
10030,650000000,8.337418636017446e-05,-0.007711009453016934,nan
10030,660000000,8.3374186362839e-05,-0.007711009453160693,nan
10030,670000000,8.337418636195082e-05,-0.007711009453292997,nan
10030,680000000,8.337418636195082e-05,-0.007711009453628573,nan
10030,690000000,8.337418636017446e-05,-0.00771100945390273,nan
10030,700000000,8.337418636017446e-05,-0.00771100945409175,nan
10030,710000000,8.337418635928628e-05,-0.007711009454313307,nan
10030,720000000,8.337418635928628e-05,-0.007711009454483699,nan
10030,730000000,8.337418635928628e-05,-0.007711009454731774,nan
10030,740000000,8.337418635928628e-05,-0.007711009454975388,nan
10030,750000000,8.337418636195082e-05,-0.00771100945520998,nan
10030,760000000,8.337418635928628e-05,-0.0077110094554248675,nan
10030,770000000,8.337418636106264e-05,-0.007711009455636546,nan
10030,780000000,8.337418636017446e-05,-0.007711009455857021,nan
10030,790000000,8.337418636017446e-05,-0.007711009456083738,nan
10030,800000000,8.337418635928628e-05,-0.007711009456238442,nan
10030,810000000,8.337418636017446e-05,-0.007711009456510702,nan
10030,820000000,8.337418635750993e-05,-0.007711009456741326,nan
10030,830000000,8.337418635928628e-05,-0.007711009456901546,nan
10030,840000000,8.337418635928628e-05,-0.007711009457229073,nan
10030,850000000,8.337418635573357e-05,-0.007711009457527024,nan
10030,860000000,8.337418635662175e-05,-0.007711009457731197,nan
10030,870000000,8.337418635662175e-05,-0.007711009457886014,nan
10030,880000000,8.337418635662175e-05,-0.007711009458082209,nan
10030,890000000,8.337418635662175e-05,-0.0077110094582274104,nan
10030,900000000,8.337418635750993e-05,-0.007711009458553059,nan
10030,910000000,8.337418635662175e-05,-0.007711009458745987,nan
10030,920000000,8.337418635750993e-05,-0.0077110094589321375,nan
10030,930000000,8.337418635750993e-05,-0.007711009459231524,nan
10030,940000000,8.337418635662175e-05,-0.0077110094594139,nan
